guest_black,host_race_black,host_gender_M,ten_reviews,multiple_listings,shared_property,log_price,yes
1,0,0,0,0,1,4.2626801,1
1,0,0,1,0,1,4.0073333,1
1,0,1,1,1,0,4.59512,1
0,0,1,1,1,1,4.3820267,1
1,0,0,0,1,1,3.8066626,0
0,0,0,1,1,0,5.0039463,0
0,0,0,1,0,1,4.4426513,1
0,0,1,1,0,1,4.3694477,1
1,0,0,1,1,0,5.6167712,
1,0,1,1,1,0,5.2983174,0
0,0,0,1,1,0,5.1416636,1
1,0,0,1,0,0,5.0434251,1
1,0,1,1,0,1,4.2484951,0
1,0,0,1,0,0,4.8283138,0
0,0,0,0,0,0,5.0751739,0
1,0,1,1,1,0,4.59512,1
0,0,1,1,1,0,5.0106354,1
0,0,0,0,0,1,5.521461,0
1,0,0,1,0,0,4.4886365,0
1,0,1,1,0,0,4.8598123,0
1,0,1,1,0,1,4.934474,0
0,0,0,1,1,0,5.4161005,0
0,0,0,0,1,1,4.5538769,
0,0,0,1,0,1,4.5538769,0
0,1,0,1,0,0,5.2983174,1
0,0,0,1,0,0,5.220356,1
0,0,1,1,1,1,4.3820267,1
1,0,0,1,1,0,5.8141303,1
1,0,0,0,0,0,5.0106354,0
1,0,0,1,1,0,4.7004805,0
1,0,1,0,0,0,5.1647859,0
0,0,0,0,0,1,4.3174882,0
0,0,1,1,0,1,3.9512436,1
1,0,0,1,1,0,5.1357985,0
0,1,0,0,0,1,3.0910425,0
0,0,0,1,0,1,4.0073333,1
1,0,0,1,0,0,5.480639,0
1,0,0,1,1,1,4.4426513,1
0,0,1,1,0,0,5.2983174,0
0,0,1,1,0,1,4.1743875,1
1,1,0,0,0,1,4.1743875,0
0,0,1,1,0,0,5.1817837,0
0,0,1,1,1,1,4.2484951,1
0,0,1,0,0,0,5.5012584,0
1,0,1,0,0,1,3.2188759,1
0,0,1,0,0,1,4.3820267,1
1,0,1,0,0,0,4.5538769,1
0,1,0,0,0,0,5.0106354,1
1,0,0,1,1,1,3.8918202,1
0,0,0,1,0,1,4.4426513,1
0,0,0,1,0,0,4.7449322,0
1,0,0,1,0,1,4.0943446,0
0,0,0,1,0,0,4.9052749,0
0,0,0,1,0,0,4.8202815,0
1,1,0,1,1,1,4.0775375,1
0,0,0,1,0,0,5.5412636,1
1,0,0,0,0,1,4.3174882,
0,0,0,1,1,0,,0
0,0,1,0,1,1,3.871201,1
0,0,0,0,1,0,5.1298985,0
0,0,0,1,1,1,4.4998097,0
0,0,0,0,1,0,4.5538769,0
0,0,0,1,0,1,4.6443911,0
0,0,0,1,1,1,4.3174882,1
0,0,1,1,1,0,5.521461,1
0,0,0,0,1,1,4.0775375,1
1,0,0,0,1,0,5.7037826,0
0,0,0,1,0,1,4.2341065,0
1,0,0,1,1,0,4.7449322,1
1,0,0,1,0,1,4.5432949,1
1,0,0,1,1,0,5.7037826,0
1,0,0,1,0,1,4.4543471,0
1,0,0,1,1,1,4.1743875,1
0,0,0,0,0,0,4.3174882,1
0,0,1,1,0,0,5.0751739,0
1,0,1,1,1,0,5.9914646,0
1,0,1,1,1,1,4.5849676,0
0,0,0,1,0,1,4.59512,1
1,0,1,1,0,0,6.2915692,0
0,0,0,0,0,0,4.9052749,0
0,0,0,1,0,1,4.3174882,0
0,0,1,1,1,0,4.3694477,1
1,0,0,1,0,0,5.2983174,0
1,0,1,1,1,1,4.4426513,0
0,0,0,1,0,0,4.1743875,0
